"RuleSet","droolsbook.decisiontables",,,
"Import","droolsbook.decisiontables.bank.model.*, droolsbook.bank.model.Customer,  droolsbook.bank.model.Account.Type, java.math.*,",,,
"Notes","Decision tables for calculating interest rates.",,,
,,,,
"RuleTable Interest Calculation",,,,
"CONDITION","CONDITION","CONDITION","CONDITION","ACTION"
"$a:Account...","$a:Account...","$a:Account...","$a:Account...",
"type == Account.Type.$param","currency","balance >= $1 && < $2","monthsBetweenStartAndEndDate >= $1 && < $2","$a.setInterestRate(new BigDecimal($param));"
"type","currency","balance <min, max)","months","set interest rate"
"TRANSACTIONAL","EUR",,,"""0.01"""
"STUDENT","EUR","0, 2000",,"""1.00"""
"SAVINGS","EUR","0, 100","0, 1","""0.00"""
"SAVINGS","EUR","0, 100","1, 3","""0.10"""
"SAVINGS","EUR","0, 100","3, 12","""2.00"""
"SAVINGS","EUR","100, 1000","0, 1","""0.10"""
"SAVINGS","EUR","100, 1000","1, 3","""3.00"""
"SAVINGS","EUR","100, 1000","3, 12","""3.25"""
"SAVINGS","EUR","1000, 5000","0, 1","""0.10"""
"SAVINGS","EUR","1000, 5000","1, 3","""3.25"""
"SAVINGS","EUR","1000, 5000","3, 12","""3.50"""
"SAVINGS","EUR","5000, 10000","0, 1","""0.10"""
"SAVINGS","EUR","5000, 10000","1, 3","""3.50"""
"SAVINGS","EUR","5000, 10000","3, 12","""3.75"""
"SAVINGS","USD","0, 100","0, 1","""0.00"""
